learning_rate	which_rules	which_responses	word	weight	updated_weight	mean_reg
0.05	both	coplayer	beeve	0.8760675281811514	0.8849334770684965	0.6153846153846154
0.05	both	coplayer	blide	0.7829016668651589	0.80889941734653	0.5217391304347826
0.05	both	coplayer	blurn	0.9835884467748506	0.7977070010534301	0.6666666666666666
0.05	both	coplayer	breep	0.5484932856105598	0.5748734999908967	0.2916666666666667
0.05	both	coplayer	brive	0.6233257410830562	0.6375122584759664	0.25
0.05	both	coplayer	brurn	0.9835884467748506	0.7977070010534301	0.4583333333333333
0.05	both	coplayer	cheel	0.7033649711464584	0.7339122070731742	0.6521739130434783
0.05	both	coplayer	cheem	1	1	0.46153846153846156
0.05	both	coplayer	cheen	1	1	0.6521739130434783
0.05	both	coplayer	chim	0.8541500394431276	0.857868293697897	0.3333333333333333
0.05	both	coplayer	chite	0.8602176784612262	0.8695928590286642	0.3333333333333333
0.05	both	coplayer	dreen	1	1	0.5652173913043478
0.05	both	coplayer	dreep	0.5484932856105598	0.5813267490675207	0.23076923076923078
0.05	both	coplayer	drell	0.9155899592136832	0.7732850319451493	0.46153846153846156
0.05	both	coplayer	drurn	0.9835884467748506	0.8189372200974953	0.5217391304347826
0.05	both	coplayer	dweep	0.5319307624339821	0.5656386715920783	0.3076923076923077
0.05	both	coplayer	dwide	0.7841681456376568	0.8101838368077023	0.3076923076923077
0.05	both	coplayer	dwill	0.9155899592136832	0.7732850319451493	0.46153846153846156
0.05	both	coplayer	dwim	0.7138711619353876	0.693470710759671	0.4583333333333333
0.05	both	coplayer	dwing	0.7062877882701784	0.7398105475090356	0.5384615384615384
0.05	both	coplayer	dwink	0.8998676870443899	0.9084378537866971	0.34782608695652173
0.05	both	coplayer	feem	1	1	0.6086956521739131
0.05	both	coplayer	fide	0.9154709676018904	0.8961970539982512	0.4230769230769231
0.05	both	coplayer	fim	0.8393380184291316	0.8482914661433811	0.6153846153846154
0.05	both	coplayer	fleel	1	1	0.46153846153846156
0.05	both	coplayer	frim	0.8248619149777238	0.8104869732121361	0.782608695652174
0.05	both	coplayer	geem	1	1	0.6956521739130435
0.05	both	coplayer	geeve	0.9209183614324898	0.9240393343955152	0.6086956521739131
0.05	both	coplayer	gim	0.7138711619353876	0.7207839920700254	0.6153846153846154
0.05	both	coplayer	glill	0.9155899592136832	0.7685161821209932	0.4583333333333333
0.05	both	coplayer	gline	0.8761751979855581	0.8599758001153436	0.6153846153846154
0.05	both	coplayer	gling	0.7568219552724097	0.783759000246539	0.6086956521739131
0.05	both	coplayer	glink	0.7409149085767697	0.7566027071968942	0.4166666666666667
0.05	both	coplayer	greel	1	1	0.5652173913043478
0.05	both	coplayer	greem	1	1	0.5769230769230769
0.05	both	coplayer	gring	0.7375500849042943	0.7647730726506037	0.34782608695652173
0.05	both	coplayer	grink	0.7403984313448542	0.7658953636807878	0.34615384615384615
0.05	both	coplayer	gurn	0.6778384157579144	0.67321756651386	0.4166666666666667
0.05	both	coplayer	hurn	0.9835884467748506	0.8189372200974953	0.6956521739130435
