which_rules	which_responses	learning_rate	c
both	coplayer	0.5	0.5464475519109641
both	own	0.5	0.6238178801466139
irregular	coplayer	0.5	0.5231012408366251
irregular	own	0.5	0.5798796917814312
regular	coplayer	0.5	0.6105947908882245
regular	own	0.5	0.6273349091224512
both	coplayer	1	0.541240608652717
both	own	1	0.6213346500124551
irregular	coplayer	1	0.5163062757997936
irregular	own	1	0.5727808563307356
regular	coplayer	1	0.6149207045567773
regular	own	1	0.6349386198444896
both	coplayer	1.5	0.5393273093039394
both	own	1.5	0.6201950664567097
irregular	coplayer	1.5	0.5163596546831074
irregular	own	1.5	0.5727005099907476
regular	coplayer	1.5	0.617508746352443
regular	own	1.5	0.6374960799882566
both	coplayer	2	0.5374276326910075
both	own	2	0.6199623678872638
irregular	coplayer	2	0.516389402289954
irregular	own	2	0.572711630591438
regular	coplayer	2	0.6180191819241309
regular	own	2	0.6389150686363475
both	coplayer	2.5	0.5365496612665029
both	own	2.5	0.6197608069997508
irregular	coplayer	2.5	0.51643749888794
irregular	own	2.5	0.5726629779634177
regular	coplayer	2.5	0.6165523746930713
regular	own	2.5	0.6397026851802426
both	coplayer	3	0.5356480585655314
both	own	3	0.6193401702786379
irregular	coplayer	3	0.5165520410750507
irregular	own	3	0.5727099625013345
regular	coplayer	3	0.615716105521156
regular	own	3	0.6402954131970393
both	coplayer	3.5	0.5352435467154194
both	own	3.5	0.6190429722251877
irregular	coplayer	3.5	0.5165378623091704
irregular	own	3.5	0.572674098564108
regular	coplayer	3.5	0.6158009001014199
regular	own	3.5	0.6407660926212589
both	coplayer	4	0.5348562717963773
both	own	4	0.6189181434824383
irregular	coplayer	4	0.5165245175883421
irregular	own	4	0.5726596417832105
regular	coplayer	4	0.6150327446087329
regular	own	4	0.641291541003879
both	coplayer	4.5	0.5346786202003487
both	own	4.5	0.6189192555425074
irregular	coplayer	4.5	0.5165350821589979
irregular	own	4.5	0.5726599197982278
regular	coplayer	4.5	0.6137611039197892
regular	own	4.5	0.6413585426230384
both	coplayer	5	0.5347278288584036
both	own	5	0.6188163899861215
irregular	coplayer	5	0.5165381403241878
irregular	own	5	0.5726479651524857
regular	coplayer	5	0.6125478463844704
regular	own	5	0.6419129045674532
both	coplayer	5.5	0.5346502626685883
both	own	5.5	0.6187374337212199
irregular	coplayer	5.5	0.5166671392921961
irregular	own	5.5	0.5726026487046725
regular	coplayer	5.5	0.6124408106028255
regular	own	5.5	0.6420577503914452
both	coplayer	6	0.5346633293743995
both	own	6	0.6187007357389416
irregular	coplayer	6	0.5166671392921961
irregular	own	6	0.5726026487046725
regular	coplayer	6	0.6125370037987972
regular	own	6	0.6422479126632504
both	coplayer	6.5	0.5345398907067364
both	own	6.5	0.6187274251805985
irregular	coplayer	6.5	0.5166671392921961
irregular	own	6.5	0.5725862458186541
regular	coplayer	6.5	0.6121430565193409
regular	own	6.5	0.6424130535835023
both	coplayer	7	0.5345473971122024
both	own	7	0.6187282592256503
irregular	coplayer	7	0.5166721435625067
irregular	own	7	0.5725970884043272
regular	coplayer	7	0.6122556526013309
regular	own	7	0.642410551448347
both	coplayer	7.5	0.5345387786466673
both	own	7.5	0.6187621770577558
irregular	coplayer	7.5	0.5166537945713676
irregular	own	7.5	0.5724825462172165
regular	coplayer	7.5	0.612192543192413
regular	own	7.5	0.6428703882868937
both	coplayer	8	0.5344892919735953
both	own	8	0.6187454961567204
irregular	coplayer	8	0.5166376697003665
irregular	own	8	0.5724881065175617
regular	coplayer	8	0.6122473121508132
regular	own	8	0.6429749219333832
both	coplayer	8.5	0.5344993005142166
both	own	8.5	0.6187349315860646
irregular	coplayer	8.5	0.5166398938205046
irregular	own	8.5	0.5724641972260774
regular	coplayer	8.5	0.6109848459574392
regular	own	8.5	0.6430163461709547
both	coplayer	9	0.5344475897210064
both	own	9	0.6187416039464787
irregular	coplayer	9	0.5166396158054873
irregular	own	9	0.572460583030853
regular	coplayer	9	0.6104049066314365
regular	own	9	0.6430485959129567
both	coplayer	9.5	0.5344592663517312
both	own	9.5	0.6187593969075833
irregular	coplayer	9.5	0.516698276974129
irregular	own	9.5	0.5725245264848225
regular	coplayer	9.5	0.6087173554766734
regular	own	9.5	0.6430541562133021
both	coplayer	10	0.5344481457510409
both	own	10	0.6187724636133946
irregular	coplayer	10	0.5167049493345433
irregular	own	10	0.5724819901871819
regular	coplayer	10	0.6088513587149923
regular	own	10	0.6430989166310809
both	coplayer	10.5	0.5344698309223871
both	own	10.5	0.6188202821963631
irregular	coplayer	10.5	0.5167049493345433
irregular	own	10.5	0.5724686454663535
regular	coplayer	10.5	0.6088330097238531
regular	own	10.5	0.6431656402352229
both	coplayer	11	0.5344612124568521
both	own	11	0.6188289006618982
irregular	coplayer	11	0.5167049493345433
irregular	own	11	0.5724686454663535
regular	coplayer	11	0.6087532194138998
regular	own	11	0.6432212432386747
both	coplayer	11.5	0.5344626025319383
both	own	11.5	0.6188205602113803
irregular	coplayer	11.5	0.5166993890341981
irregular	own	11.5	0.5724152665830397
regular	coplayer	11.5	0.6089061276733925
regular	own	11.5	0.6432787923472474
both	coplayer	12	0.5344773373278531
both	own	12	0.6188461375929682
irregular	coplayer	12	0.5167141238301127
irregular	own	12	0.5725106257339596
regular	coplayer	12	0.6087457130084339
regular	own	12	0.6433141002544392
both	coplayer	12.5	0.5344473117059891
both	own	12.5	0.6188516978933134
irregular	coplayer	12.5	0.5167141238301127
irregular	own	12.5	0.5725106257339596
regular	coplayer	12.5	0.6085057860485393
regular	own	12.5	0.643430588546671
both	coplayer	13	0.534460100396783
both	own	13	0.6188525319383652
irregular	coplayer	13	0.5167169039802855
irregular	own	13	0.5724455702199209
regular	coplayer	13	0.6081318558503256
regular	own	13	0.6434539418081207
both	coplayer	13.5	0.5344395272855059
both	own	13.5	0.6188600383438313
irregular	coplayer	13.5	0.5167266345058895
irregular	own	13.5	0.5724480723550763
regular	coplayer	13.5	0.6081927411391054
regular	own	13.5	0.6435114909166935
both	coplayer	14	0.5344745571776806
both	own	14	0.6188636525390556
