which_rules	which_responses	learning_rate	c
irregular	coplayer	14	0.5167719509537028
irregular	own	14	0.5724266651987474
regular	coplayer	14	0.6081935751841572
regular	own	14	0.6435262257126082
both	coplayer	14.5	0.5344756692377496
both	own	14.5	0.6188605943738658
irregular	coplayer	14.5	0.5167661126383403
irregular	own	14.5	0.5723632777748123
regular	coplayer	14.5	0.6077128872193162
regular	own	14.5	0.643576546430732
both	coplayer	15	0.5344823415981638
both	own	15	0.618861984448952
irregular	coplayer	15	0.5167661126383403
irregular	own	15	0.5723265797925341
regular	coplayer	15	0.6077228957599373
regular	own	15	0.6435284498327463
both	coplayer	15.5	0.5344823415981638
both	own	15.5	0.618857814223693
irregular	coplayer	15.5	0.516757216157788
irregular	own	15.5	0.572285711584997
regular	coplayer	15.5	0.6075077121365788
regular	own	15.5	0.6436493863652538
both	coplayer	16	0.5345056948596135
both	own	16	0.6188903419807124
irregular	coplayer	16	0.5167839055994449
irregular	own	16	0.5722979442457564
regular	coplayer	16	0.6071763182360059
regular	own	16	0.643688030452653
both	coplayer	16.5	0.5345056948596135
both	own	16.5	0.6188864497704708
irregular	coplayer	16.5	0.5167839055994449
irregular	own	16.5	0.5722773711344792
regular	coplayer	16.5	0.6065941547898651
regular	own	16.5	0.6438248138411443
both	coplayer	17	0.5345056948596135
both	own	17	0.6188858937404362
irregular	coplayer	17	0.5167761211789615
irregular	own	17	0.5722640264136507
regular	coplayer	17	0.606369796670937
regular	own	17	0.6438484451176115
both	coplayer	17.5	0.5345248778958044
both	own	17.5	0.6188836696202982
irregular	coplayer	17.5	0.5168000304704459
irregular	own	17.5	0.5722504036778051
regular	coplayer	17.5	0.605787355209779
regular	own	17.5	0.6438517812978185
both	coplayer	18	0.5345248778958044
both	own	18	0.6188822795452119
irregular	coplayer	18	0.5167947481851181
irregular	own	18	0.5722337227767694
regular	coplayer	18	0.605787355209779
regular	own	18	0.6438520593128358
both	coplayer	18.5	0.5345248778958044
both	own	18.5	0.6188814455001601
irregular	coplayer	18.5	0.5167947481851181
irregular	own	18.5	0.5722337227767694
regular	coplayer	18.5	0.605787355209779
regular	own	18.5	0.6438520593128358
both	coplayer	19	0.5345257119408562
both	own	19	0.6188708809295043
irregular	coplayer	19	0.5167947481851181
irregular	own	19	0.5722173198907512
regular	coplayer	19	0.6044940293494893
regular	own	19	0.6438943175954592
both	coplayer	19.5	0.5345237658357354
both	own	19.5	0.6189045207465925
irregular	coplayer	19.5	0.516802254590584
irregular	own	19.5	0.5722231582061137
regular	coplayer	19.5	0.6044328660456925
regular	own	19.5	0.6439543688391873
both	coplayer	20	0.5345237658357354
both	own	20	0.6189053547916443
irregular	coplayer	20	0.5167989184103768
irregular	own	20	0.5722437313173909
regular	coplayer	20	0.6044328660456925
regular	own	20	0.6439529787641011
both	coplayer	20.5	0.5345243218657699
both	own	20.5	0.6189061888366961
irregular	coplayer	20.5	0.5167989184103768
irregular	own	20.5	0.5722437313173909
regular	coplayer	20.5	0.6044334220757269
regular	own	20.5	0.643948808538842
both	coplayer	21	0.5344981884541475
both	own	21	0.6189061888366961
irregular	coplayer	21	0.5167989184103768
irregular	own	21	0.5722437313173909
regular	coplayer	21	0.6044995896498345
regular	own	21	0.644034437164158
both	coplayer	21.5	0.5344981884541475
both	own	21.5	0.6189131392121278
irregular	coplayer	21.5	0.5167989184103768
irregular	own	21.5	0.5722437313173909
regular	coplayer	21.5	0.6043405650599624
regular	own	21.5	0.6440380513593823
both	coplayer	22	0.5344993005142166
both	own	22	0.6189148073022313
irregular	coplayer	22	0.5167989184103768
irregular	own	22	0.5722437313173909
regular	coplayer	22	0.6043416771200314
regular	own	22	0.6440397194494858
both	coplayer	22.5	0.5345151473702003
both	own	22.5	0.6189345463684566
irregular	coplayer	22.5	0.5167961382602043
irregular	own	22.5	0.5722437313173909
regular	coplayer	22.5	0.6042785677111135
regular	own	22.5	0.6441150615191631
both	coplayer	23	0.5345151473702003
both	own	23	0.6189345463684566
irregular	coplayer	23	0.5167961382602043
irregular	own	23	0.5722437313173909
regular	coplayer	23	0.6042785677111135
regular	own	23	0.6441150615191631
both	coplayer	23.5	0.5345162594302694
both	own	23.5	0.6189212016476281
irregular	coplayer	23.5	0.5167961382602043
irregular	own	23.5	0.5722437313173909
regular	coplayer	23.5	0.6035329314348244
regular	own	23.5	0.6441450871410271
both	coplayer	24	0.5345162594302694
both	own	24	0.6189237037827836
irregular	coplayer	24	0.5168439568431729
irregular	own	24	0.5722531838279776
regular	coplayer	24	0.6035649031618092
regular	own	24	0.6441728886427528
both	coplayer	24.5	0.5345162594302694
both	own	24.5	0.6189248158428526
irregular	coplayer	24.5	0.5168439568431729
irregular	own	24.5	0.5722498476477706
regular	coplayer	24.5	0.6035649031618092
regular	own	24.5	0.6441737226878046
both	coplayer	25	0.5345162594302694
both	own	25	0.6189228697377319
irregular	coplayer	25	0.5168439568431729
irregular	own	25	0.5722326107167004
regular	coplayer	25	0.603043346989431
regular	own	25	0.6441726106277356
